"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"138","Scl","0138",1,105,0,"00 : 59 : 35.59","-33 : 34 : 14.4",-0.725358837128843,0.260024242505767
"139","Scl","0139",1,115,0,"00 : 59 : 25.65","-33 : 36 : 16.5",-0.734238199698365,0.259301385307233
"140","Scl","0140",1,105,0,"00 : 59 : 30.91","-33 : 36 : 50.1",-0.736681660651157,0.259683903301628
"141","Scl","0141",0.999,97,0,"00 : 59 : 26.31","-33 : 37 : 52.6",-0.741226788911559,0.259349381861662
"142","Scl","0142",1,99,0,"00 : 59 : 29.62","-33 : 38 : 01.2",-0.74185219856019,0.259590091854333
"143","Scl","0143",1,106,0,"00 : 59 : 42.99","-33 : 32 : 08.9",-0.716232219581956,0.260562385691798
"144","Scl","0144",1,124,0,"00 : 59 : 39.85","-33 : 33 : 42.0",-0.723002642638651,0.260334038447996
"145","Scl","0145",1,108,0,"00 : 59 : 34.43","-33 : 35 : 39.2",-0.731525667152557,0.259939884925254
"146","Scl","0146",1,108,0,"00 : 59 : 39.03","-33 : 36 : 00.7",-0.733089191274135,0.260274406365219
"147","Scl","0147",1,108,0,"00 : 59 : 34.02","-33 : 36 : 15.7",-0.734180022056631,0.259910068883866
"148","Scl","0148",1,106,0,"00 : 59 : 34.29","-33 : 37 : 19.0",-0.738783327958766,0.259929703837951
"149","Scl","0149",1,110,0,"00 : 59 : 33.66","-33 : 38 : 00.5",-0.741801293123673,0.259883888945086
"150","Scl","0150",1,116,0,"00 : 59 : 34.24","-33 : 43 : 19.0",-0.764963266738681,0.259926067735342
"151","Scl","0151",0.999,106,0,"00 : 59 : 32.97","-33 : 43 : 16.4",-0.764774189403049,0.259833710729091
"152","Scl","0152",1,109,0,"00 : 59 : 30.05","-33 : 43 : 04.6",-0.763916069187485,0.259621362336765
"153","Scl","0153",1,121,0,"00 : 59 : 28.37","-33 : 42 : 43.5",-0.762381633886773,0.259499189289125
"154","Scl","0154",1,120,0,"00 : 59 : 26.43","-33 : 42 : 21.5",-0.760781748739112,0.259358108507922
"155","Scl","0155",1,124,0,"00 : 59 : 35.38","-33 : 41 : 33.9",-0.757320179055989,0.260008970874812
"156","Scl","0156",1,114,0,"00 : 59 : 31.89","-33 : 40 : 38.5",-0.753291377365969,0.259755170912751
"157","Scl","0157",1,111,0,"00 : 59 : 24.26","-33 : 42 : 45.2",-0.762505261375456,0.259200301654721
"158","Scl","0158",1,118,0,"00 : 59 : 23.45","-33 : 41 : 26.7",-0.756796580280391,0.259141396792466
"159","Scl","0159",1,107,0,"00 : 59 : 27.24","-33 : 40 : 50.3",-0.754149497581533,0.259417013370177
"160","Scl","0160",1,115,0,"00 : 59 : 26.68","-33 : 40 : 22.4",-0.75212055232609,0.259376289020964
"161","Scl","0161",1,106,0,"00 : 59 : 26.79","-33 : 39 : 24.3",-0.74789540109522,0.259384288446702
"162","Scl","0162",1,105,0,"00 : 59 : 47.71","-33 : 32 : 25.1",-0.717410316827052,0.260905633778024
